Name,University,Year,Country
Dmitry Brizhinev,The Australian National University,2015,Australia
Joon Young Seo,University of Illinois at Urbana-Champaign,2015,United States
Ruihan Shan,University of Illinois at Urbana-Champaign,2015,United States
Timothy Smith,University of Illinois at Urbana-Champaign,2015,United States
Benjamin Pruett,Virginia Tech,2015,United States
Miraziz Yusupov,Virginia Tech,2015,United States
Nicholas Sharp,Virginia Tech,2015,United States
Ben Ritter,The University of Western Australia,2015,Australia
Eliot Courtney,The University of Western Australia,2015,Australia
Michael Martis,The University of Western Australia,2015,Australia
Charles Koenig,University of Chicago,2015,United States
Harrison Weigel,University of Chicago,2015,United States
Biye Jiang,University of California at Berkeley,2015,United States
