Name,University,Year,Country
Nitit Jongsawatsataporn,University of Wisconsin-Madison,2022,United States
Mingrui Liu,University of Wisconsin-Madison,2022,United States
Radostin Chonev,University of Oxford,2022,United Kingdom
Mingyang Deng,Massachusetts Institute of Technology,2022,United States
Anton Trygub,Massachusetts Institute of Technology,2022,United States
Jiajie Lai,Columbia University,2022,United States
Dallas Yan,UNSW Sydney,2022,Australia
Ziyi Zhang,University of Wisconsin-Madison,2022,United States
Kaiheng Dai,Columbia University,2022,United States
Akif Patel,Rutgers University,2022,United States
Phawin Prongpaophan,University of Washington,2022,United States
Nathanon Akkaraphab,University of Washington,2022,United States
Milin Kodnongbua,University of Washington,2022,United States
Weiying Chen,University of Alberta,2022,Canada
Ian DeHaan,University of Alberta,2022,Canada
Peter Jin,Purdue University,2022,United States
Minh Nguyen,Purdue University,2022,United States
Egor Gagushin,Purdue University,2022,United States
Joseph Durie,Rutgers University,2022,United States
Jiacheng Wu,University of Alberta,2022,Canada
Quang Ong,University of Melbourne,2022,Australia
Tautvydas Jasiūnas,University of Cambridge,2022,United Kingdom
Netanya Robinson,University of Melbourne,2022,Australia
Jiawei Li,The University of Texas at Austin,2022,United States
Ruoshi Dai,The University of Texas at Austin,2022,United States
Gediminas Lelesius,University of Cambridge,2022,United Kingdom
Stanley Wei,The University of Texas at Austin,2022,United States
Sean Liu,University of Illinois at Urbana-Champaign,2022,United States
Zhenwei Hu,University of Illinois at Urbana-Champaign,2022,United States
Michael Zhao,University of Melbourne,2022,Australia
Michael Nematollahi,University of Toronto,2021,Canada
Victor Tao,University of Toronto,2021,Canada
Arihant Jain,University of California Los Angeles,2021,United States
Jacob Zhang,University of California Los Angeles,2021,United States
Lucas Xia,University of California Los Angeles,2021,United States
Pengsen Mao,UNSW Sydney,2021,Australia
Temmie Yao,UNSW Sydney,2021,Australia
Riley Borgard,Purdue University,2021,United States
Christopher Lambert,Carnegie Mellon University,2021,United States
Costin-Andrei Oncescu,University of Oxford,2021,United Kingdom
Jerry Mao,Massachusetts Institute of Technology,2021,United States
Xiao Mao,Massachusetts Institute of Technology,2021,United States
Andrew Yang,Carnegie Mellon University,2021,United States
Junwen Tan,University of Michigan at Ann Arbor,2021,United States
Zack Lee,Carnegie Mellon University,2021,United States
Lukas Michel,University of Oxford,2021,United Kingdom
Yui Hin Arvin Leung,University of Cambridge,2021,United Kingdom
Stefan Buliga,University of Oxford,2021,United Kingdom
Ildar Gainullin,University of Waterloo,2021,Canada
Jason Yuen,University of Waterloo,2021,Canada
Wesley Leung,University of Waterloo,2021,Canada
Vladimir Milenkovic,University of Cambridge,2021,United Kingdom
Allen Li,University of Michigan at Ann Arbor,2021,United States
Matthew Tran,Texas A&M University,2021,United States
Ramchandra Apte,University of Michigan at Ann Arbor,2021,United States
Andrew Yuan,Yale University,2021,United States
Bao Tran,University of Rochester,2021,United States
Loc Bui,University of Rochester,2021,United States
Vladimir Maksimovski,University of Rochester,2021,United States
David Zhuang,Northeastern University,2021,United States
Jonathan Hsieh,Northeastern University,2021,United States
Noble Mushtak,Northeastern University,2021,United States
Deyuan Li,Yale University,2021,United States
Dion Stephan Ong,Yale University,2021,United States
Tanapoom Laoaron,University of Wisconsin-Madison,2021,United States
Ziyuan Zhang,University of Wisconsin-Madison,2021,United States
Rahim Mammadli,The University of British Columbia,2021,Canada
Xingyu Zhou,The University of British Columbia,2021,Canada
Dung Bui,University of Wisconsin-Madison,2021,United States
Jason Cannon,University of Alberta,2021,Canada
Naixin Zong,Texas A&M University,2021,United States
Tanner Hoke,Texas A&M University,2021,United States
Salih Bera Sogut,McGill University,2021,Canada
Thien-Trung Vuong,McGill University,2021,Canada
Arvind Ramaswami,Georgia Institute of Technology,2021,United States
Eric Hu,McGill University,2021,Canada
Grayden Price,University of Alberta,2021,Canada
Nitit Jongsawatsataporn,University of Wisconsin - Madison,2020,United States
David Harmeyer,University of Central Florida,2020,United States
Joshua Fair,University of Central Florida,2020,United States
Jirayu Burapacheep,University of Wisconsin - Madison,2020,United States
David Berard,University of British Columbia,2020,Canada
Ziyi Zhang,University of Wisconsin - Madison,2020,United States
Victor Chen,University of British Columbia,2020,Canada
Henry Xia,University of British Columbia,2020,Canada
Franklyn Wang,Harvard University,2020,United States
Moses Mayer,Harvard University,2020,United States
Benjamin Qi,Massachusetts Institute of Technology,2020,United States
Eric Zhang,Harvard University,2020,United States
Zihan Wang,University of Illinois at Urbana-Champaign,2020,United States
Zhuolin Yang,University of Illinois at Urbana-Champaign,2020,United States
Yen-Hsiang Chang,University of Illinois at Urbana-Champaign,2020,United States
Zhezheng Luo,Massachusetts Institute of Technology,2020,United States
Spencer Compton,Massachusetts Institute of Technology,2020,United States
Maja Trela,University of Cambridge,2020,United Kingdom
David Wärn,University of Cambridge,2020,United Kingdom
Kacper Walentynowicz,University of Cambridge,2020,United Kingdom
Golrokh Emami,Stanford University,2020,United States
Andy Shih,Stanford University,2020,United States
Muthukurisil Arivoli,Duke University,2020,United States
Kangmin Tan,University of Southern California,2020,United States
Yuheng Xu,Duke University,2020,United States
Liang Lyu,Duke University,2020,United States
Samuel Zachary,University of Utah,2020,United States
Oliver Flatt,University of Utah,2020,United States
Yi Xu,Purdue University,2020,United States
Tianyi Chen,University of Southern California,2020,United States
Igor Durovic,University of Utah,2020,United States
Adhyyan Sekhsaria,University of Southern California,2020,United States
Darrin Wiley,The University of Texas at Dallas,2020,United States
An Nguyen,The University of Texas at Dallas,2020,United States
Yibo Huang,Virginia Tech,2020,United States
Benjamin Reidys,Virginia Tech,2020,United States
Alexander Lind,Virginia Tech,2020,United States
Peter Kwak,The University of Texas at Dallas,2020,United States
Nikola Danevski,University of Rochester,2020,United States
Edward Chen,The University of Auckland,2019,New Zealand
Victor Cyril L Lecomte,Columbia University,2019,United States
Jiacheng Liu,University of Illinois at Urbana-Champaign,2019,United States
Lan Dao,University of Illinois at Urbana-Champaign,2019,United States
