Name,Country,University,Year,Source
Caleb Hu,United States,The University of Texas at Austin,2024,ICPC
Calvin Deng,United States,Harvard University,2016,ICPC
Changtian Sun,United States,University of Wisconsin - Madison,2018,ICPC
Changyu Zhu,United States,University of Southern California,2019,ICPC
Chaoshuai Lu,United States,University of California Los Angeles,2015,ICPC
Charles Dacheng Li,Australia,,2018,IMO
Charles Jameson,Australia,,2017,IOI
Charles Koenig,United States,University of Chicago,2015,ICPC
Chase Hildebrand,United States,University of Virginia,2024,ICPC
Cheng-Yuan Lee,United States,University of Maryland,2024,ICPC
Chenhui Zhu,United States,University of Southern California,2019,ICPC
Chenwei Wu,United States,Duke University,2019,ICPC
Ching Yun Hsu,United States,California Institute of Technology,2016,ICPC
Chris Pan,New Zealand,,2024,IMO
Chris Trevisan,Canada,University of Waterloo,2022,ICPC
Christopher Brown,New Zealand,,2016,IOI
Christopher Lambert,United States,Carnegie Mellon University,2021,ICPC
Christopher Tran,Australia,,2023,IMO
Christopher Trevisan,Canada,,2021,IOI
Christopher Wu,United States,Virginia Tech,2017,ICPC
Chuanqi Shen,United States,Stanford University,2015,ICPC
Chuanye Chen,New Zealand,,2016,IOI
Chun Wu,United States,University of Michigan at Ann Arbor,2015,ICPC
Cloris Xu,Australia,,2024,IMO
Colin Galen,United States,University of Maryland,2024,ICPC
Colin Shanmo Tang,United States,,2019,IMO
Conor Kennedy,United States,Stanford University,2024,ICPC
Cormac Kikkert,Australia,The Australian National University,2024,ICPC
Corwin de Boor,United States,Carnegie Mellon University,2019,ICPC
Costin-Andrei Oncescu,United Kingdom,University of Oxford,2021,ICPC
Curtis Fenner,United States,University of Michigan at Ann Arbor,2017,ICPC
Da Wei Zheng,Canada,University of British Columbia,2019,ICPC
Daaron Chiu,Australia,The University of New South Wales,2016,ICPC
Dallas Yan,Australia,UNSW Sydney,2022,ICPC
Daniel Anderson,Australia,Monash University,2017,ICPC
Daniel Andrus,United States,South Dakota School of Mines and Technology,2016,ICPC
Daniel Chiu,United States,Harvard University,2019,ICPC
Daniel Moyer,United States,Virginia Tech,2018,ICPC
Daniel Naylor,United Kingdom,,2021,IMO
Daniel Rubery,United States,University of Rochester,2017,ICPC
Daniel Talamas Cano,United States,The University of Texas at Austin,2018,ICPC
Daniel West,United States,University of Central Florida,2022,ICPC
Daniel Ye,Canada,,2024,IOI
Daniel Zhang,United States,Georgia Institute of Technology,2023,ICPC
Daniel Zhu,United States,,2019,IMO
Dannier Li,United States,University of Nebraska - Lincoln,2019,ICPC
Darrin Wiley,United States,The University of Texas at Dallas,2020,ICPC
David Berard,Canada,University of British Columbia,2020,ICPC
David Harmeyer,United States,University of Central Florida,2020,ICPC
David Liao,United States,University of Pennsylvania,2018,ICPC
David Liu,United States,Harvard University,2015,ICPC
David Shah,United Kingdom,,2015,IOI
David Spencer,United States,University of North Carolina at Chapel Hill,2016,ICPC
David Stoner,United States,,2015,IMO
David Tang,Canada,,2020,IMO
David Wärn,United Kingdom,University of Cambridge,2020,ICPC
David Zhuang,United States,Northeastern University,2021,ICPC
Dawn Chen,New Zealand,,2024,IMO
Dayton Ellwanger,United States,University of North Carolina at Chapel Hill,2016,ICPC
Declan McDonnell,Australia,The University of New South Wales,2016,ICPC
Deon Nicholas,Canada,University of Waterloo,2015,ICPC
Derek Liu,United States,,2023,IMO
Derek Morris,United States,University of Virginia,2016,ICPC
Devin Qu,United States,Purdue University,2023,ICPC
Deyuan Li,United States,Yale University,2021,ICPC
Dhruv Basu,Canada,,2023,IMO
Di Chen,United States,Cornell University,2018,ICPC
Dilhan Salgado,United States,Carnegie Mellon University,2022,ICPC
Dimitrije Erdeljan,United Kingdom,University of Cambridge,2018,ICPC
Dingkang Wang,United States,Ohio State University,2016,ICPC
Dingli Yu,United States,Princeton University,2019,ICPC
Dion Stephan Ong,United States,Yale University,2021,ICPC
Dmitry Brizhinev,Australia,The Australian National University,2015,ICPC
Dongxiao Yu,United States,University of California at Berkeley,2018,ICPC
Dragos-Florian Ristache,United States,Cornell University,2017,ICPC
Dung Bui,United States,University of Wisconsin-Madison,2021,ICPC
Dustin Pho,United States,Virginia Tech,2016,ICPC
Duy Nguyen,United States,Drexel University,2019,ICPC
Dušan Živanović,United Kingdom,University of Cambridge,2018,ICPC
Ed Kim,United States,Northwestern University,2015,ICPC
Edgar Wang,Canada,,2020,IMO
Eduardo Ferreira,United States,Cornell University,2015,ICPC
Edward Chen,New Zealand,The University of Auckland,2019,ICPC
Edward Wan,United States,,2019,IMO
Edward Xiao,Canada,,2022,IOI
Edward Xiao,United States,Carnegie Mellon University,2023,ICPC
Egor Gagushin,United States,Purdue University,2022,ICPC
Elijah Huang,United States,University of California Irvine,2024,ICPC
Eliot Courtney,Australia,The University of Western Australia,2015,ICPC
Emily Ma,Canada,,2024,IMO
Emma Krantz,Australia,The University of Western Australia,2016,ICPC
Erekle Roinishvili,United Kingdom,,2023,IOI
Eric Hu,Canada,McGill University,2021,ICPC
Eric Lee,New Zealand,,2022,IMO
Eric Liang,New Zealand,,2023,IMO
Eric Ly,United States,University of Central Florida,2018,ICPC
Eric Schneider,United States,Princeton University,2017,ICPC
Eric Shao,United States,Columbia University,2024,ICPC
Eric Shen,Canada,,2021,IMO
Eric Shen,United States,,2023,IMO
Eric Song,New Zealand,,2019,IOI
Eric Williamson,United States,Virginia Tech,2018,ICPC
Eric Xu,United States,Stanford University,2019,ICPC
Eric Yang,United States,Rutgers University,2024,ICPC
Eric Zhang,United States,Harvard University,2020,ICPC
Ernest Lu,United States,"University of California, Berkeley",2024,ICPC
Ethan Arnold,United States,The University of Texas at Austin,2019,ICPC
Ethan Ng,New Zealand,,2020,IMO
Ethan Yong-Ern Tan,Australia,,2018,IMO
Euan Ong,United Kingdom,,2020,IOI
Euan Tebbutt,United Kingdom,,2017,IOI
Evan Bailey,United States,The University of Texas at Dallas,2023,ICPC
Evan Dorundo,United States,University of Central Florida,2016,ICPC
Evan Limanto,United States,University of California at Berkeley,2017,ICPC
Evan Lin,Australia,,2023,IOI
Evan Lu,Canada,,2022,IMO
Farbod Yadegarian,Canada,,2016,IOI
Forrest Li,United States,University of North Carolina at Chapel Hill,2016,ICPC
Fox Thomson,United Kingdom,,2018,IOI
Franklyn Wang,United States,Harvard University,2020,ICPC
Fredrik Ekholm,United Kingdom,University of Cambridge,2024,ICPC
Fredy Yip,Australia,,2020,IMO
Gabriel Wu,United States,Harvard University,2024,ICPC
Gaoyuan Chen,United States,University of Southern California,2015,ICPC
Gediminas Lelesius,United Kingdom,University of Cambridge,2022,ICPC
Geoffry Song,Canada,University of Waterloo,2015,ICPC
George Chen,Canada,,2020,IOI
George Chichirim,United Kingdom,University of Oxford,2018,ICPC
George Han,New Zealand,,2015,IMO
George Mears,United Kingdom,,2019,IMO
George Zhou,United Kingdom,,2022,IMO
Golrokh Emami,United States,Stanford University,2020,ICPC
Gopal Goel,United States,,2020,IMO
Grace Chang,New Zealand,,2019,IMO
Grace Yuan,Australia,,2022,IMO
Grady Kenix,New Zealand,,2022,IMO
Grayden Price,Canada,University of Alberta,2021,ICPC
Gregory Zhang,Canada,University of British Columbia,2018,ICPC
Guanhan Li,New Zealand,,2024,IOI
Guowen Zhang,Australia,,2018,IMO
Hadi Yami,United States,University of Maryland,2017,ICPC
Hadyn Ka Ming Tang,Australia,,2021,IMO
Hadyn Tang,Australia,The Australian National University,2024,ICPC
Haibing Wang,Australia,,2021,IMO
Hamish Baguley,New Zealand,,2021,IMO
Hanjun Dai,United States,Georgia Institute of Technology,2015,ICPC
Hanks Chong,United Kingdom,,2023,IMO
Hao Chen,United States,University of California Los Angeles,2015,ICPC
Haolin Zhao,United Kingdom,,2024,IMO
Haomin Long,United States,Columbia University,2018,ICPC
Haoran Xu,United States,Massachusetts Institute of Technology,2017,ICPC
Haotian Wang,New Zealand,,2024,IMO
Haozhe Yang,Canada,,2023,IMO
Harris Leung,United Kingdom,University of Oxford,2024,ICPC
Harrison Weigel,United States,University of Chicago,2015,ICPC
Harun Gunaydin,United States,Drexel University,2019,ICPC
Harvey Yau,United Kingdom,,2018,IMO
He (James) Xu,New Zealand,,2022,IMO
Henry Xia,Canada,University of British Columbia,2020,ICPC
Hidenori Shinohara,United States,University of Minnesota - Twin Cities,2016,ICPC
Ho Ching Justin Cheng,United States,University of Southern California,2016,ICPC
Hoang Giap Vu,Australia,University of Melbourne,2023,ICPC
Howard Halim,Canada,,2018,IMO
Howard Loewe Halim,Canada,,2019,IMO
Hristo Venev,United Kingdom,University of Oxford,2017,ICPC
Huaye Jeff Lin,United States,,2023,IMO
Hubert Teo,United States,Stanford University,2018,ICPC
Hung li Chen,Canada,University of British Columbia,2016,ICPC
Huy Truong Nam Nguyen,United States,Harvard University,2018,ICPC
Ian DeHaan,Canada,University of Alberta,2022,ICPC
Ian Gottshall,United States,Iowa State University,2017,ICPC
Igor Durovic,United States,University of Utah,2020,ICPC
Ildar Gainullin,Canada,University of Waterloo,2021,ICPC
Ilia Kucherov,Australia,,2016,IMO
Ingkarat Rak-amnouykit,United States,University of Wisconsin - Madison,2017,ICPC
Innokentiy Kaurov,United States,Columbia University,2024,ICPC
Ioana-Maria Tamas,United States,Cornell University,2017,ICPC
Iris Xu,Australia,,2024,IMO
Isaac King,United Kingdom,,2024,IMO
Isaiah Iliffe,Australia,,2020,IOI
Ishan Nath,New Zealand,,2020,IMO
Ishraq Huda,Australia,,2015,IOI
Ivan Solovyev,New Zealand,,2020,IOI
Jackson Abascal,United States,University of Rochester,2017,ICPC
Jacob Coxon,United Kingdom,,2017,IMO
Jacob Jackson,Canada,University of Waterloo,2015,ICPC
Jacob Magnuson,United States,University of Central Florida,2022,ICPC
Jacob Perin,United States,Iowa State University,2017,ICPC
Jacob Smith,Australia,,2018,IOI
Jacob Smith,United States,Iowa State University,2016,ICPC
Jacob Steinebronn,United States,University of Central Florida,2023,ICPC
Jacob Teo,United States,Massachusetts Institute of Technology,2023,ICPC
Jacob Zhang,United States,University of California Los Angeles,2021,ICPC
Jake Silverman,United States,Cornell University,2016,ICPC
James Bang,Australia,,2019,IMO
James King,Australia,,2021,IOI
James Lin,United States,,2018,IMO
James Tan,United Kingdom,,2021,IOI
James Yang,Canada,,2022,IMO
Jason Cannon,Canada,University of Alberta,2021,ICPC
Jason Chi,Australia,,2021,IMO
Jason Chiu,Canada,University of British Columbia,2017,ICPC
Jason Li,United States,Carnegie Mellon University,2015,ICPC
Jason Liu,United States,University of California Los Angeles,2023,ICPC
Jason Yuen,Canada,University of Waterloo,2017,ICPC
Jason Zou,United States,University of Maryland,2018,ICPC
Jay Leeds,United States,Swarthmore College,2024,ICPC
Jay Zhao,New Zealand,,2024,IMO
Jeck Lim,United Kingdom,University of Cambridge,2019,ICPC
Jeffrey Chang,United States,Georgia Institute of Technology,2023,ICPC
Jeffrey Kwan,United States,,2020,IMO
Jeffrey Xiao,Canada,,2016,IOI
Jenni Voon,United Kingdom,,2021,IMO
Jeremy Archer,United States,University of Chicago,2015,ICPC
Jeremy Yip,Australia,,2015,IMO
Jerry Li,United States,University of California Irvine,2017,ICPC
Jerry Mao,Australia,,2018,IOI
Jerry Mao,United States,Massachusetts Institute of Technology,2021,ICPC
Jerry Zirui Li,Australia,,2023,IOI
Jesse Zhang,New Zealand,,2024,IOI
Jessica Wan,United States,,2024,IMO
Jiacheng Liu,United States,University of Illinois at Urbana-Champaign,2019,ICPC
Jiacheng Wu,Canada,University of Alberta,2022,ICPC
Jiahao Fu,United States,University of Illinois at Urbana-Champaign,2024,ICPC
Jiajie Lai,United States,Columbia University,2022,ICPC
Jian Wang,United States,Ohio State University,2016,ICPC
Jiangqi Dai,United States,Massachusetts Institute of Technology,2024,ICPC
Jiawei Li,United States,The University of Texas at Austin,2022,ICPC
Jingbang Chen,United States,Georgia Institute of Technology,2022,ICPC
Jinhao (Hunter) Xu,Canada,,2015,IMO
Jirayu Burapacheep,United States,University of Wisconsin - Madison,2020,ICPC
Jiyuan Qi,United States,University of Washington,2024,ICPC
Joakim Blikstad,Canada,University of Waterloo,2019,ICPC
Joe Benton,United Kingdom,,2017,IMO
Joel Gunawan,Canada,The University of British Columbia,2024,ICPC
Joey Yu,Canada,,2018,IOI
John Boswell,United States,University of Central Florida,2015,ICPC
Johnathan Leung,New Zealand,,2019,IMO
