Name,Country,University,Year,Source,LinkedIn_Profile
Ankan Bhattacharya,United States,,2017,IMO,https://www.linkedin.com/in/ankancs94
Ankit Bisain,United States,,2021,IMO,
Anthony Fetelya,Canada,University of Toronto,2023,ICPC,https://ca.linkedin.com/in/afetelya
Anton Trygub,United States,Massachusetts Institute of Technology,2022,ICPC,https://www.linkedin.com/in/anton-trygub-32919514a
Antoni Pilat,United Kingdom,,2021,IOI,
Antonio Molina Lovett,Canada,University of Waterloo,2017,ICPC,https://ca.linkedin.com/in/finn-lidbetter
Arihant Jain,United States,University of California Los Angeles,2021,ICPC,https://www.linkedin.com/in/thearihantjain
Arman Tokanov,United States,University of Pennsylvania,2017,ICPC,https://kz.linkedin.com/in/tokanov
Arnav Sastry,United States,The University of Texas at Austin,2018,ICPC,https://www.linkedin.com/in/arknave
Aron Thomas,United Kingdom,,2020,IMO,https://is.linkedin.com/in/aron-thomas-050664ba
Arthur Conmy,United Kingdom,,2019,IOI,https://www.linkedin.com/in/arthur-conmy-a029211a8
Arthur Wenqi Sun,Australia,,2023,IOI,https://au.linkedin.com/in/wenqi-sun-580857b7
Arvin Sahami,Canada,,2021,IMO,
Arvind Ramaswami,United States,Georgia Institute of Technology,2021,ICPC,https://www.linkedin.com/in/arvind-ramaswami
Aryaz Eghbali,Canada,University of Calgary,2015,ICPC,https://de.linkedin.com/in/aryaz-eghbali-71508643
Ashwin Sah,United States,,2016,IMO,https://www.linkedin.com/in/ashwinsah
Austin Tankiang,Australia,The University of New South Wales,2019,ICPC,
Ava Pun,Canada,,2018,IOI,https://ca.linkedin.com/in/avapun
Bao Tran,United States,University of Rochester,2021,ICPC,https://www.linkedin.com/in/baotran01
Barnard Patel,New Zealand,,2016,IMO,https://www.linkedin.com/in/maahipatell
Basim Khajwal,United Kingdom,,2018,IOI,https://uk.linkedin.com/in/basimkhajwal
BatOrgil Batsaikhan,United States,University of Minnesota - Twin Cities,2016,ICPC,
Batmend Batsaikhan,United States,Carleton College,2023,ICPC,https://www.linkedin.com/in/batmendbar
Belinda Shi,Australia,,2016,IOI,https://www.linkedin.com/in/belindashi
Ben Erickson,United States,The University of South Dakota,2017,ICPC,https://www.linkedin.com/in/eric1743
Ben Ritter,Australia,The University of Western Australia,2015,ICPC,https://cz.linkedin.com/in/ben-loffelmann
Benedek Szilvasy,United Kingdom,,2021,IOI,https://hu.linkedin.com/in/benedek-szilvasi-0a04a210
Benedict Morrissey,Australia,The Australian National University,2015,ICPC,https://au.linkedin.com/in/ben-morrissey-4b3067a
Benedict Randall Shaw,United Kingdom,,2019,IMO,https://uk.linkedin.com/in/benedict-shaw-60b07916b
Benjamin Gillott,United Kingdom,,2022,IMO,https://www.linkedin.com/in/ben-gillott
Benjamin Grimmer,United States,Illinois Institute of Technology,2016,ICPC,https://www.linkedin.com/in/benjamin-grimmer-b0320555
Benjamin Pruett,United States,Virginia Tech,2015,ICPC,https://www.linkedin.com/in/ben-pruitt
