Name,Country,University,Year,Source,LinkedIn_Profile
Jiacheng Wu,Canada,University of Alberta,2022,ICPC,https://ca.linkedin.com/in/jiachengwuu
Jiahao Fu,United States,University of Illinois at Urbana-Champaign,2024,ICPC,
Jiajie Lai,United States,Columbia University,2022,ICPC,https://www.linkedin.com/in/ji-lai-63724730
Jian Wang,United States,Ohio State University,2016,ICPC,https://www.linkedin.com/in/dr-jian-wang-a4119214
Jiangqi Dai,United States,Massachusetts Institute of Technology,2024,ICPC,https://www.linkedin.com/in/jiangqi-dai-7321b42aa
Jiawei Li,United States,The University of Texas at Austin,2022,ICPC,https://www.linkedin.com/in/jiawei-li-7289ba56
Jingbang Chen,United States,Georgia Institute of Technology,2022,ICPC,https://www.linkedin.com/in/chenjb
Jinhao (Hunter) Xu,Canada,,2015,IMO,https://www.linkedin.com/in/jinhao-chen-9a471410a
Jirayu Burapacheep,United States,University of Wisconsin - Madison,2020,ICPC,https://www.linkedin.com/in/jburapacheep
Jiyuan Qi,United States,University of Washington,2024,ICPC,https://www.linkedin.com/in/jiyuan-qiu-37a04b325
Joakim Blikstad,Canada,University of Waterloo,2019,ICPC,https://se.linkedin.com/in/joakim-blikstad-77bb4b131
Joe Benton,United Kingdom,,2017,IMO,https://www.linkedin.com/in/joe-benton-686420157
Joel Gunawan,Canada,The University of British Columbia,2024,ICPC,https://ca.linkedin.com/in/joel-gunawan-856000227
Joey Yu,Canada,,2018,IOI,https://www.linkedin.com/in/joey-yu
John Boswell,United States,University of Central Florida,2015,ICPC,https://www.linkedin.com/in/john-boswell-ph-d
Johnathan Leung,New Zealand,,2019,IMO,
Johnny Ho,United States,Harvard University,2016,ICPC,https://www.linkedin.com/in/hjohnny
Jon Schneider,United States,Princeton University,2015,ICPC,https://www.linkedin.com/in/jon-schneider-861963156
Jonathan Easterday,United States,Cedarville University,2017,ICPC,https://www.linkedin.com/in/kara-tripp-582o
Jonathan Hsieh,United States,Northeastern University,2021,ICPC,https://www.linkedin.com/in/j-hsieh
Jonathan Khoo,New Zealand,,2016,IOI,
Jonathon Sun,New Zealand,,2023,IOI,https://uk.linkedin.com/in/jonathonsun
Jongmin Lim,Australia,,2016,IMO,https://au.linkedin.com/in/jongmin-lim-414609239
Joon Young Seo,United States,University of Illinois at Urbana-Champaign,2015,ICPC,https://www.linkedin.com/in/joon-young-seo-010aab82
Jordan Lefkowitz,United States,,2024,IMO,
Jose Carlos Vera-Garza,United States,Rice University,2016,ICPC,https://www.linkedin.com/in/gala-snodgrass
Joseph Benton,United Kingdom,,2017,IOI,https://www.linkedin.com/in/joseph-benton-7084a7174
Joseph Durie,United States,Rutgers University,2022,ICPC,https://www.linkedin.com/in/jdurie
Joseph Grace,New Zealand,,2020,IOI,
Joseph Luo,Australia,UNSW Sydney,2024,ICPC,https://au.linkedin.com/in/zizhuo-joe-luo-2a3b20250
Joseph McKinsey,United States,Colorado School of Mines,2019,ICPC,https://www.linkedin.com/in/joseph-mckinsey-356195146
Joseph Woodson,United States,Washington University in St. Louis,2017,ICPC,https://www.linkedin.com/in/joey-woodson-68b869a3
Joshua Alman,United States,Stanford University,2016,ICPC,https://www.linkedin.com/in/josh-alman
Joshua Chen,Australia,,2022,IOI,https://www.linkedin.com/in/joshuawchen
Joshua Fair,United States,University of Central Florida,2020,ICPC,https://www.linkedin.com/in/joshua-fair-99634112a
Joshua Lau,Australia,The University of New South Wales,2016,ICPC,https://au.linkedin.com/in/joshua-lau-junkbot
Joshua Linge,United States,University of Central Florida,2017,ICPC,https://www.linkedin.com/in/joshua-linge-b0633b100
Joël Benjamin Huber,United Kingdom,University of Cambridge,2024,ICPC,https://ch.linkedin.com/in/johutha
Jun Xing Go,United States,University of Washington,2024,ICPC,https://www.linkedin.com/in/jun-xing-go
JunYang (Michael) Ma,New Zealand,,2023,IMO,https://www.linkedin.com/in/michael-junyang-ma
Jung Tao Cheng,United States,Stanford University,2024,ICPC,https://www.linkedin.com/in/jung-ho-choi-1b02721b
Junhua Chen,Australia,,2020,IOI,https://au.linkedin.com/in/junhua-chen-548669202
Junwen Tan,United States,University of Michigan at Ann Arbor,2021,ICPC,https://www.linkedin.com/in/junwen-xiao
Junyao Peng,United States,,2017,IMO,https://cn.linkedin.com/in/junyao-peng-13350521
Kacper Walentynowicz,United Kingdom,University of Cambridge,2020,ICPC,https://uk.linkedin.com/in/kpw29
Kai Sun,Canada,,2016,IMO,https://www.linkedin.com/in/kai-sun-8825a662
Kaidi Yan,United States,Stanford University,2015,ICPC,https://www.linkedin.com/in/kaidi-yan-01074b6b
Kaiheng Dai,United States,Columbia University,2022,ICPC,https://www.linkedin.com/in/kaiheng-dai-88a0b6140
Kaixin Wang,Canada,,2023,IMO,https://www.linkedin.com/in/kaixin-wang-3416731b2
Kaiyuan Liu,United States,University of Washington,2024,ICPC,https://www.linkedin.com/in/kaiyuan-liu-7580bb342
Kalina Petrova,United States,Princeton University,2017,ICPC,https://ch.linkedin.com/in/petrovakalina
Kangmin Tan,United States,University of Southern California,2020,ICPC,
Kangning Wang,United States,Duke University,2019,ICPC,https://www.linkedin.com/in/kangning-wang
Karl Augsten,Canada,University of Calgary,2015,ICPC,
Keiran Lewellen,New Zealand,,2018,IMO,https://www.linkedin.com/in/keiranlewellen
Kenneth Schiller,United States,Carleton College,2015,ICPC,https://www.linkedin.com/in/kenschiller
Kevin  Min,Canada,,2022,IMO,https://www.linkedin.com/in/kevin-min-620b90226
Kevin Cong,United States,,2022,IMO,https://www.linkedin.com/in/kevin-cong-5222055a
Kevin Lee,United Kingdom,,2020,IOI,https://www.linkedin.com/in/variousventures
Kevin Min,Canada,,2021,IMO,https://www.linkedin.com/in/kevin-min-620b90226
Kevin Shen,New Zealand,,2016,IMO,https://www.linkedin.com/in/shenkevinq
Kevin Sun,Canada,,2016,IMO,https://www.linkedin.com/in/kevin-y-sun
Kevin Sun,United States,Massachusetts Institute of Technology,2019,ICPC,https://ca.linkedin.com/in/kevin-sun-a99a84204
Kevin Tran,Australia,The University of New South Wales,2015,ICPC,https://au.linkedin.com/in/kevin-tran-5aa969232?trk=public_profile_browsemap
Kevin Wan,Canada,University of Waterloo,2019,ICPC,https://www.linkedin.com/in/lyestria
Kevin Xian,Australia,,2016,IMO,https://www.linkedin.com/in/kevin-xian-78ba1a1b9
Kevin Yang,United States,Columbia University,2024,ICPC,https://www.linkedin.com/in/kevin-yang8803
Keyhan Vakil,United States,University of California at Berkeley,2017,ICPC,
Khang Phan,United States,University of Nebraska - Lincoln,2019,ICPC,https://sg.linkedin.com/in/nhat-khang-phan-a5401210b
Konstantin Miagkov,United States,University of California Los Angeles,2017,ICPC,https://www.linkedin.com/in/konstantin-miagkov-164396197
Krishna Pothapragada,United States,,2024,IMO,
Krittisak Chaiyakul,United States,University of Wisconsin - Madison,2017,ICPC,https://www.linkedin.com/in/krittisak
Kurtis Van Gent,United States,The University of South Dakota,2017,ICPC,https://www.linkedin.com/in/kurtisvg
Lan Dao,United States,University of Illinois at Urbana-Champaign,2019,ICPC,https://www.linkedin.com/in/lan-dao-414289127
Lawrence Hollom,United Kingdom,,2016,IMO,https://uk.linkedin.com/in/lawrence-hollom-3b1b6a22b
Lawrence Wu,United States,University of Michigan at Ann Arbor,2018,ICPC,
Lawry Sorenson,United States,Brigham Young University,2023,ICPC,https://www.linkedin.com/in/lawrysorenson
Leo Feng,Canada,,2017,IOI,
Liam Hill,United Kingdom,,2019,IMO,https://www.linkedin.com/in/liam-hill-a2a6a2247
Liam Machado,United States,University of Utah,2016,ICPC,https://www.linkedin.com/in/alexandramuir
Liang Lyu,United States,Duke University,2020,ICPC,https://www.linkedin.com/in/liang-charles-lyu
Liangjian Chen,United States,University of California Irvine,2017,ICPC,https://www.linkedin.com/in/liangjian-chen-9b3a87b9
Lingxiao Li,United States,Stanford University,2015,ICPC,https://www.linkedin.com/in/lingxiao-li-68376060
Linhan Yu,United States,Carnegie Mellon University,2023,ICPC,https://www.linkedin.com/in/lijun-yu
Linus Cooper,Australia,,2017,IMO,
Linus Tang,United States,,2024,IMO,https://www.linkedin.com/in/linus-yifeng-tang-97a90b332
Loc Bui,United States,University of Rochester,2021,ICPC,https://www.linkedin.com/in/loc-bui
Luca Araujo,United States,Carleton College,2023,ICPC,https://www.linkedin.com/in/luca-dantas
Lucas Knutson,United States,University of Minnesota - Twin Cities,2016,ICPC,https://www.linkedin.com/in/lucas-knutson-563605172
Lucas Xia,United States,University of California Los Angeles,2021,ICPC,
Lucca Siaudzionis,Canada,University of British Columbia,2018,ICPC,https://www.linkedin.com/in/luccasiau
Luhang Lai,United States,University of California at Berkeley,2015,ICPC,https://www.linkedin.com/in/liheng-lai-b2b7b91b5
Lukas Michel,United Kingdom,University of Oxford,2021,ICPC,https://uk.linkedin.com/in/lukas-michel
Luke Robitaille,United States,,2022,IMO,https://www.linkedin.com/in/luke-robitaille-7a0a34292
Luke Videckis,United States,South Dakota School of Mines and Technology,2019,ICPC,
Maayan Levy,New Zealand,,2020,IOI,https://www.linkedin.com/in/maayanlevy
Mahsa Derakhshan,United States,University of Maryland,2017,ICPC,
Maja Trela,United Kingdom,University of Cambridge,2020,ICPC,https://uk.linkedin.com/in/maja-trela-75a216172
Marcus Upton,United States,Messiah College,2015,ICPC,https://www.linkedin.com/in/nancy-rosoff-2317714
Marian Dietz,Canada,University of Waterloo,2022,ICPC,
Marielle Foster,United States,Carleton College,2015,ICPC,https://ca.linkedin.com/in/marielle-s-7b001a198?trk=public_profile_browsemap
Mark Wen,United States,The University of Texas at Austin,2024,ICPC,https://www.linkedin.com/in/markhwen
Marko Stanković,United Kingdom,University of Cambridge,2018,ICPC,https://uk.linkedin.com/in/markost
Mars Xiang,Canada,,2023,IOI,https://ca.linkedin.com/in/mars-xiang
Martin Anjie Luk,New Zealand,,2015,IMO,https://ke.linkedin.com/in/alain-sivyolo-374a11109
Marvin Mao,Canada,,2024,IMO,
Matej Urban,United Kingdom,University of Cambridge,2024,ICPC,https://sk.linkedin.com/in/matej-urban-705175216
Matt Cotter,United States,Carleton College,2015,ICPC,https://www.linkedin.com/in/mattwc
Matthew Agar,Canada,University of Toronto,2023,ICPC,https://www.linkedin.com/in/matthew-agar-684a06179
Matthew Baldin,United States,Colorado School of Mines,2019,ICPC,
Matthew Cheah,Australia,,2017,IMO,https://www.linkedin.com/in/matthew-cheah-9354a2249
Matthew Dyke,United States,South Dakota School of Mines and Technology,2017,ICPC,https://www.linkedin.com/in/matthewdyke
Matthew Gharrity,United States,Cornell University,2017,ICPC,https://www.linkedin.com/in/gharrma
Matthew Hillman,United Kingdom,,2016,IOI,https://www.linkedin.com/in/mr-hillman
Matthew Savage,United States,Carnegie Mellon University,2019,ICPC,https://www.linkedin.com/in/savagemat
Matthew Schallenkamp,United States,South Dakota School of Mines and Technology,2018,ICPC,https://www.linkedin.com/in/matthewschallenkamp
Matthew Tran,United States,Texas A&M University,2021,ICPC,https://www.linkedin.com/in/matthew-tran-b3506a196
Max Jiang,Canada,University of Waterloo,2024,ICPC,https://ca.linkedin.com/in/max-jiang
Max Ward-Graham,Australia,The University of Western Australia,2016,ICPC,https://au.linkedin.com/in/max-ward-661617151
Maxim Li,United States,,2021,IMO,https://www.linkedin.com/in/maxtli
Maximus Lu,United States,,2023,IMO,
Maxwell He,Canada,,2024,IOI,
Maxwell Zen,United States,Harvard University,2024,ICPC,https://www.linkedin.com/in/maxwell-zen
Maxwell Zhang,United States,Georgia Institute of Technology,2023,ICPC,https://www.linkedin.com/in/maxwellrzhang
Menghui Wang,United States,University of Wisconsin - Madison,2015,ICPC,
Micah Stairs,Canada,Mount Allison University,2017,ICPC,https://ca.linkedin.com/in/micah-stairs
Michael Chen,Australia,,2015,IOI,https://www.linkedin.com/in/chenhmike
Michael Kirsche,United States,University of Central Florida,2016,ICPC,
Michael Kural,United States,,2016,IMO,https://www.linkedin.com/in/michael-kural-477270131
Michael Li,Canada,,2020,IMO,https://www.linkedin.com/in/limichael
Michael Martis,Australia,The University of Western Australia,2015,ICPC,https://au.linkedin.com/in/mjmartis
Michael Nematollahi,Canada,University of Toronto,2021,ICPC,https://www.linkedin.com/in/michael-nematollahi
Michael Pang,Canada,,2015,IMO,https://www.linkedin.com/in/michael-pang-cs
Michael Pfeifer,United States,South Dakota School of Mines and Technology,2019,ICPC,https://www.linkedin.com/in/michael-pfeifer-231870b6
Michael Ren,United States,,2018,IMO,https://www.linkedin.com/in/mren16
Michael Zhao,Australia,University of Melbourne,2022,ICPC,https://hk.linkedin.com/in/michaelzhaoo
Michelle Chen,Australia,,2016,IMO,https://www.linkedin.com/in/michellemchen
Mihai Andreescu,United States,University of Chicago,2016,ICPC,
Mihai Popa,United Kingdom,Imperial College London,2016,ICPC,https://uk.linkedin.com/in/mihai-popa-01502ba6
Mihail Jianu,United Kingdom,University of Oxford,2017,ICPC,https://ch.linkedin.com/in/mihailjianu
Mihir Anand Singhal,United States,,2018,IMO,https://www.linkedin.com/in/mihirsinghal
Mijia Jiang,United States,University of Minnesota - Twin Cities,2015,ICPC,https://www.linkedin.com/in/mijiajiang
Mikaeel Shah,United Kingdom,,2024,IMO,https://uk.linkedin.com/in/mikaeel-shah-a37a422a0
Mike Nguyen,United States,The University of Texas at Dallas,2023,ICPC,https://www.linkedin.com/in/mikenguyen7268
Miles Conway,Australia,,2023,IOI,https://www.linkedin.com/in/miles-dylan-conway-64599ba
Miles Yee-Cheng Lee,New Zealand,,2016,IMO,https://my.linkedin.com/in/lee-yee-cheng-238994118
Milin Kodnongbua,United States,University of Washington,2022,ICPC,
Ming Yang,Canada,,2024,IMO,https://uk.linkedin.com/in/ming-yang-579b28202
Mingrui Liu,United States,University of Wisconsin-Madison,2022,ICPC,https://www.linkedin.com/in/mingrui-liu-874a08201
Mingyang Deng,United States,Massachusetts Institute of Technology,2022,ICPC,https://www.linkedin.com/in/mingyang-deng-382278236
Minh Nguyen,United States,Purdue University,2022,ICPC,https://vn.linkedin.com/in/tony-minh-nguyen
Miraziz Yusupov,United States,Virginia Tech,2015,ICPC,https://www.linkedin.com/in/miraziz
Misha Ivkov,United States,Stanford University,2023,ICPC,https://www.linkedin.com/in/misha-ivkov-41ab54110
Mitchell Peterson,United States,The University of South Dakota,2017,ICPC,https://www.linkedin.com/in/mitchell-peterson-611b29128
Mohammad Amin Ghiasi,United States,University of Maryland,2018,ICPC,https://www.linkedin.com/in/mohammad-amin-ghiasi
Mohammad Huda,Australia,The University of New South Wales,2018,ICPC,https://au.linkedin.com/in/mohammad-huda-98415995
Mohit Hulse,United Kingdom,,2022,IMO,
Morgan Redshaw,Canada,University of Alberta,2017,ICPC,https://uk.linkedin.com/in/morganredshaw
Moses Mayer,United States,Harvard University,2020,ICPC,https://www.linkedin.com/in/moses-mayer
Muthukurisil Arivoli,United States,Duke University,2020,ICPC,https://www.linkedin.com/in/muthukurisil-arivoli-76a4811a2
Naixin Zong,United States,Texas A&M University,2021,ICPC,
Naomi Rubin,United States,Carnegie Mellon University,2016,ICPC,https://www.linkedin.com/in/naomi-rubin-2910882b5
Natalie Longtin,United States,University of Central Florida,2023,ICPC,https://www.linkedin.com/in/natalielongtin
Nathan Chaney,United States,Messiah College,2015,ICPC,https://www.linkedin.com/in/nrchaney
Nathan De Graaf,United States,Iowa State University,2016,ICPC,https://www.linkedin.com/in/nathandegraaf
Nathan Fenner,United States,University of Michigan at Ann Arbor,2018,ICPC,https://www.linkedin.com/in/blockwork
Nathan Harold,United States,Cedarville University,2017,ICPC,https://www.linkedin.com/in/nathan-harold-5aa64a130
Nathaniel Masfen-Yan,New Zealand,,2020,IMO,https://www.linkedin.com/in/nathaniel-masfen-yan-99701417b
Nathanon Akkaraphab,United States,University of Washington,2022,ICPC,https://th.linkedin.com/in/nathan-akkaraphab
Neel Nanda,United Kingdom,,2017,IMO,https://uk.linkedin.com/in/neel-nanda%F0%9F%94%B8-993580151
Netanya Robinson,Australia,University of Melbourne,2022,ICPC,https://il.linkedin.com/in/dean-robinson-a1aa50182?trk=public_profile_browsemap_profile-result-card_result-card_full-click
Nicholas Belov,United States,Rutgers University,2024,ICPC,https://www.linkedin.com/in/nick-belov
Nicholas Grace,New Zealand,,2022,IOI,https://www.linkedin.com/in/nicholas-grace-5b173b78
Nicholas McKinlay,New Zealand,,2024,IMO,https://ch.linkedin.com/in/nicholas-mckinlay-9087836
Nicholas O'Callaghan,Australia,The University of Western Australia,2019,ICPC,https://au.linkedin.com/in/nicholasocallaghan
Nicholas Sharp,United States,Virginia Tech,2015,ICPC,https://www.linkedin.com/in/nisharp
Nicholas Sun,Canada,,2018,IMO,https://www.linkedin.com/in/ngsun
Nicholas Winschel,United States,University of Virginia,2024,ICPC,https://www.linkedin.com/in/nicholas-winschel
Nick Merritt,United States,Rice University,2015,ICPC,https://www.linkedin.com/in/nicholas-merritt-b26086b3
Nikil Roashan Selvam,United States,University of California Los Angeles,2023,ICPC,https://www.linkedin.com/in/nikilselvam
Nikola Danevski,United States,University of Rochester,2020,ICPC,https://www.linkedin.com/in/danevskinikola
Nikolas Anderson,United States,University of Chicago,2016,ICPC,https://www.linkedin.com/in/nicolas-anderson-aia-145729a
Nishant Bhakar,United States,"University of California, Berkeley",2023,ICPC,https://www.linkedin.com/in/nishant412
Nitit Jongsawatsataporn,United States,University of Wisconsin - Madison,2020,ICPC,https://ca.linkedin.com/in/nitit-jongsawatsataporn-043220146
Noah Walsh,United States,,2021,IMO,https://www.linkedin.com/in/noah-walsh-754252263
Noah Weninger,Canada,University of Alberta,2017,ICPC,https://ca.linkedin.com/in/noah-janzen-03bab6103
Noble Mushtak,United States,Northeastern University,2021,ICPC,https://www.linkedin.com/in/noble-mushtak
Ojas Gulati,United Kingdom,,2022,IOI,
Oliver Fisher,Australia,The University of New South Wales,2018,ICPC,https://www.linkedin.com/in/oliver-fisher-409979b7
Oliver Flatt,United States,University of Utah,2020,ICPC,https://www.linkedin.com/in/oflatt
Omkar Bhalerao,United States,Cornell University,2024,ICPC,https://www.linkedin.com/in/opb7
Pasha Khosravi,United States,University of California Irvine,2017,ICPC,https://www.linkedin.com/in/khosravipasha
Pasin Manurangsi,United States,University of California at Berkeley,2016,ICPC,https://th.linkedin.com/in/pasin30055
Peiliang Liu,United States,New York University,2023,ICPC,https://www.linkedin.com/in/peiliang-liu-94204449
Peilin Zhong,United States,Columbia University,2018,ICPC,https://cn.linkedin.com/in/peilin-zhong-3740a782
Pengda Xiang,United States,University of Southern California,2019,ICPC,https://www.linkedin.com/in/pengda-xiang-20a81410a
Pengning Chao,United States,Washington University in St. Louis,2017,ICPC,https://www.linkedin.com/in/pengning-chao-81598070
Pengsen Mao,Australia,UNSW Sydney,2021,ICPC,https://au.linkedin.com/in/pengsen-richard-mao-39b7231a2
Peter Jin,United States,Purdue University,2022,ICPC,https://www.linkedin.com/in/peterjin25
Peter Kwak,United States,The University of Texas at Dallas,2020,ICPC,https://www.linkedin.com/in/peter-kwak-8849b31ba
Peter Steele,United States,Virginia Tech,2017,ICPC,https://www.linkedin.com/in/peter-steele-626929121
Peter Whalan,Australia,Monash University,2017,ICPC,https://au.linkedin.com/in/peter-whalan-182055a1
Peter Zhou,New Zealand,,2024,IOI,https://www.linkedin.com/in/peterzhou
Phawin Prongpaophan,United States,University of Washington,2022,ICPC,https://www.linkedin.com/in/phawin-prongpaophan-14155315a
Philip Anderson,New Zealand,,2015,IOI,https://www.linkedin.com/in/philip-anderson-9b51b153
Philip Taffet,United States,Rice University,2016,ICPC,https://www.linkedin.com/in/philip-taffet-001b20113
Phillip Han,New Zealand,,2021,IMO,https://www.linkedin.com/in/phillip-han-34861978
Phoebe Zhang,New Zealand,,2023,IOI,https://www.linkedin.com/in/phoebezhang
Phu Binh Nguyen,Canada,The University of British Columbia,2024,ICPC,https://vn.linkedin.com/in/ngpin04
Phuc Nguyen,Australia,University of Melbourne,2023,ICPC,
Posdarascu Eugenie Daniel,United Kingdom,Imperial College London,2016,ICPC,https://uk.linkedin.com/in/alexandru-dan-58962710b
Pranay Tankala,United States,Harvard University,2019,ICPC,https://in.linkedin.com/in/pranay-tankala-7505a1258
Preet Patel,Australia,,2019,IMO,https://www.linkedin.com/in/preet-patel-37b91448
Prince Michael Balanay,New Zealand,,2015,IMO,https://nz.linkedin.com/in/prince-michael-balanay-19a221137
Qi Qi,Canada,,2017,IMO,https://www.linkedin.com/in/qi-qi-6b875414a
Qiao Zhang,United States,,2024,IMO,https://www.linkedin.com/in/qiaozhanglinkedin
Qingchuan Zhang,New Zealand,The University of Auckland,2019,ICPC,https://cn.linkedin.com/in/qingchuan-sam-zhang
Qinmao Zhang,United States,Rose-Hulman Institute of Technology,2018,ICPC,https://www.linkedin.com/in/fredzqm
Qiushi Chen,New Zealand,,2022,IOI,https://www.linkedin.com/in/qiushichen
Quang Anh Trinh,Australia,University of Melbourne,2023,ICPC,https://au.linkedin.com/in/tqa3001
Quang Ong,Australia,University of Melbourne,2020,ICPC,https://au.linkedin.com/in/quang-ong-19825a196
Quanlin Chen,United States,,2021,IMO,https://www.linkedin.com/in/quanlin-chen-2267b313
Rachel Krohn,United States,South Dakota School of Mines and Technology,2016,ICPC,https://www.linkedin.com/in/davidsellars33
Radostin Chonev,United Kingdom,University of Oxford,2022,ICPC,https://uk.linkedin.com/in/radostin-chonev-4a714a206
Rafael Marinheiro,United States,Cornell University,2015,ICPC,https://ie.linkedin.com/in/rafaelmarinheiro
Rafail Ketsetsidis,United States,Harvard University,2018,ICPC,
Rahim Mammadli,Canada,The University of British Columbia,2021,ICPC,
Ram Goel,United States,,2022,IMO,https://www.linkedin.com/in/ram-goel-5a662320a
Ramasai Tadepalli,United States,University of Maryland,2018,ICPC,https://www.linkedin.com/in/ramasai
Ramazan Rakhmatullin,Canada,University of Waterloo,2023,ICPC,https://ca.linkedin.com/in/grumpy-gordon
Ramchandra Apte,United States,University of Michigan at Ann Arbor,2021,ICPC,https://www.linkedin.com/in/ramchandraapte
Ray Li,Australia,The University of New South Wales,2018,ICPC,https://au.linkedin.com/in/ray-li-4529991a3
Raymond Kang,United States,Carnegie Mellon University,2018,ICPC,https://sg.linkedin.com/in/raymond-kang-26656ba0
Renato Ferreira Pinto Junior,Canada,University of Waterloo,2018,ICPC,https://ca.linkedin.com/in/renato-ferreira-69b4734b
Richard Gong,Australia,,2017,IOI,https://www.linkedin.com/in/rgong
Richard Li,United States,Purdue University,2023,ICPC,https://www.linkedin.com/in/richzli
Richard Wang,United States,University of Virginia,2024,ICPC,https://www.linkedin.com/in/richard-wang-778522193
Rick Han,New Zealand,,2021,IMO,https://www.linkedin.com/in/yuanfenghan
Ridge Shrubsall,Australia,The University of Western Australia,2018,ICPC,https://uk.linkedin.com/in/ridgeshrubsall
Riley Borgard,United States,Purdue University,2021,ICPC,https://www.linkedin.com/in/riley-borgard
Rishi Sankar,United States,University of California Los Angeles,2023,ICPC,https://www.linkedin.com/in/rishisankar1112
Rodrigo Ornelas Vargas,United States,University of Pennsylvania,2017,ICPC,
Rosie Cates,United Kingdom,,2017,IMO,
Rowan Lee,United Kingdom,,2015,IOI,
Ruichao Chen,United States,University of California at Berkeley,2017,ICPC,https://www.linkedin.com/in/ruichao-ren-phd-17a2649
Ruihan Shan,United States,University of Illinois at Urbana-Champaign,2015,ICPC,https://www.linkedin.com/in/ruihan-shan-51a90687
Ruiming Xiong,Canada,,2017,IMO,https://ca.linkedin.com/in/rui-ming-xiong-17087b168
Ruixin Qiang,United States,University of Southern California,2015,ICPC,https://www.linkedin.com/in/ruixin-qiang-16443aaa
Ruiying Wu,Australia,,2021,IMO,https://www.linkedin.com/in/ruiying-wu
Ruizhou Yang,Canada,,2017,IMO,https://uk.linkedin.com/in/ruizhou-steven-yang-388a7317a
Runze Wang,United States,Swarthmore College,2024,ICPC,https://www.linkedin.com/in/runze-wang-51a077165
Ruohong Zhang,United States,Northwestern University,2017,ICPC,https://www.linkedin.com/in/ruohong-zhang-17b9391b3
Ruoshi Dai,United States,The University of Texas at Austin,2022,ICPC,https://www.linkedin.com/in/ruoshi-dai-ab36b5242?trk=public_profile_browsemap
Ryan Alweiss,United States,,2015,IMO,https://www.linkedin.com/in/ryan-i-053505184
Ryan Bai,Canada,,2024,IMO,
Ryan King,New Zealand,,2018,IOI,https://www.linkedin.com/in/ryanaking
Ryan Rice,United States,The University of Texas at Austin,2019,ICPC,https://www.linkedin.com/in/ryanr1230
Ryan Wang,Australia,,2019,IOI,https://www.linkedin.com/in/ryanywang
Saathvik Selvan,United States,"University of California, Berkeley",2023,ICPC,https://www.linkedin.com/in/saathvik-selvan
Sakethnath Are,United States,Cornell University,2016,ICPC,https://www.linkedin.com/in/saketh-are
Salih Bera Sogut,Canada,McGill University,2021,ICPC,https://ca.linkedin.com/in/berasogut
Sam Bealing,United Kingdom,,2018,IMO,https://www.linkedin.com/in/sam-bealing-cfa-01b04598
Sam Griffiths,United Kingdom,,2024,IMO,https://www.linkedin.com/in/samgriff
Sam Heil,United States,Washington University in St. Louis,2018,ICPC,https://www.linkedin.com/in/sam-heil-077692149
Sampriti Panda,United States,Drexel University,2019,ICPC,
Samuel Dobson,New Zealand,The University of Auckland,2019,ICPC,
Samuel Kittle,United Kingdom,,2015,IMO,
Samuel Liew,United Kingdom,,2021,IMO,
Samuel Reinehr,United States,Colorado School of Mines,2019,ICPC,https://www.linkedin.com/in/sam-reinehr-90a990159
Samuel Sturge,United Kingdom,,2024,IMO,https://www.linkedin.com/in/samuel-sturge-b37131205
Samuel Trajtenberg,United Kingdom,,2024,IOI,https://uk.linkedin.com/in/samueltrajtenberg
Samuel Zachary,United States,University of Utah,2020,ICPC,https://www.linkedin.com/in/samuel-zach-104627128
Sauyon Lee,United Kingdom,University of Oxford,2017,ICPC,https://hk.linkedin.com/in/janet-y-t-chung-0baa6186
Scott Shi,United States,University of Chicago,2016,ICPC,https://www.linkedin.com/in/scott-shi-631707186
Scott Wu,United States,Harvard University,2016,ICPC,https://www.linkedin.com/in/scott-wu-8b94ab96
Sean Liu,United States,University of Illinois at Urbana-Champaign,2022,ICPC,https://www.linkedin.com/in/zhxnliu
Sean Purcell,Canada,University of Waterloo,2019,ICPC,https://ca.linkedin.com/in/scppurcell
Seba Villalobos,United States,University of Central Florida,2022,ICPC,https://www.linkedin.com/in/seba-villalobos-673a95145
Sebastian Jeon,Canada,,2019,IMO,https://www.linkedin.com/in/sjeon00
Seung Je Jung,New Zealand,,2016,IOI,
Seyoon Ragavan,Australia,,2016,IMO,https://www.linkedin.com/in/seyoon-ragavan
Shang Zhou,United States,University of California San Diego,2024,ICPC,https://www.linkedin.com/in/shang-zhou-70457735b
Shaun Marshall,United Kingdom,,2018,IOI,
Shayan Chashm Jahan,United States,University of Maryland,2024,ICPC,https://www.linkedin.com/in/shayan-chashm-jahan-32b4a2216
Sherman Yip,United Kingdom,,2020,IMO,https://hk.linkedin.com/in/sherman-yip-4625a2201
Shirui Chen,United States,University of Wisconsin - Madison,2019,ICPC,https://www.linkedin.com/in/shirui-c-8b1b8b137
Shuhao Tan,United States,University of Maryland,2017,ICPC,https://www.linkedin.com/in/shuhao-fu-086829104
Shunping Xie,United States,University of Illinois at Urbana-Champaign,2018,ICPC,https://www.linkedin.com/in/shunping-xie
Shyam Narayanan,United States,,2015,IMO,https://www.linkedin.com/in/shyamsnarayanan
Sichao Yang,United States,University of Wisconsin - Madison,2018,ICPC,https://www.linkedin.com/in/changtian-sun
Sida Li,United Kingdom,,2023,IMO,https://www.linkedin.com/in/sida-li-35729698
